timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587995768147,37244,Get Available Currencies,200,OK,Currency Converter API 1-381,text,true,,2471,220,779,779,https://currency-converter5.p.rapidapi.com/currency/list,37244,0,33888
1587995804627,767,Get Currency Rate,200,OK,Currency Converter API 1-995,text,true,,7674,235,779,779,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,767,0,571
1587995769566,35830,Get Available Currencies,200,OK,Currency Converter API 1-679,text,true,,2471,220,779,779,https://currency-converter5.p.rapidapi.com/currency/list,35830,0,34665
1587995805184,212,Get Historical Currency Rate,200,OK,Currency Converter API 1-1335,text,true,,7055,247,779,779,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,212,0,0
1587995805224,172,Get Historical Currency Rate,200,OK,Currency Converter API 1-1196,text,true,,7055,247,779,779,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,172,0,0
1587995805226,172,Get Historical Currency Rate,200,OK,Currency Converter API 1-716,text,true,,7055,247,777,777,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,172,0,0
1587995805118,282,Get Historical Currency Rate,200,OK,Currency Converter API 1-821,text,true,,7055,247,776,776,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,282,0,0
1587995804610,791,Get Currency Rate,200,OK,Currency Converter API 1-1426,text,true,,7674,235,775,775,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,791,0,608
1587995770764,34639,Get Available Currencies,200,OK,Currency Converter API 1-1850,text,true,,2471,220,775,775,https://currency-converter5.p.rapidapi.com/currency/list,34639,0,34268
1587995803706,1696,Get Currency Rate,200,OK,Currency Converter API 1-1195,text,true,,7674,235,775,775,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,1696,0,524
1587995805233,170,Get Historical Currency Rate,200,OK,Currency Converter API 1-1404,text,true,,7055,247,775,775,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,170,0,0
1587995770254,35151,Get Available Currencies,200,OK,Currency Converter API 1-1456,text,true,,2471,220,774,774,https://currency-converter5.p.rapidapi.com/currency/list,35151,0,34778
1587995770267,35138,Get Available Currencies,200,OK,Currency Converter API 1-1588,text,true,,2471,220,774,774,https://currency-converter5.p.rapidapi.com/currency/list,35138,0,34762
1587995805234,171,Get Historical Currency Rate,200,OK,Currency Converter API 1-1807,text,true,,7055,247,774,774,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,171,0,0
1587995769737,35671,Get Available Currencies,200,OK,Currency Converter API 1-1086,text,true,,2471,220,773,773,https://currency-converter5.p.rapidapi.com/currency/list,35671,0,35309
1587995805233,179,Get Historical Currency Rate,200,OK,Currency Converter API 1-1178,text,true,,7055,247,773,773,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,179,0,0
1587995803675,1749,Get Currency Rate,200,OK,Currency Converter API 1-1308,text,true,,7674,235,772,772,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,1749,0,1559
1587995803483,1944,Get Currency Rate,200,OK,Currency Converter API 1-1723,text,true,,7674,235,772,772,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,1944,0,1542
1587995805266,162,Get Historical Currency Rate,200,OK,Currency Converter API 1-1944,text,true,,7055,247,772,772,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,162,0,0
1587995770285,35145,Get Available Currencies,200,OK,Currency Converter API 1-1529,text,true,,2471,220,771,771,https://currency-converter5.p.rapidapi.com/currency/list,35145,0,34600
1587995770251,35180,Get Available Currencies,200,OK,Currency Converter API 1-1668,text,true,,2471,220,771,771,https://currency-converter5.p.rapidapi.com/currency/list,35180,0,34795
1587995770262,35170,Get Available Currencies,200,OK,Currency Converter API 1-1497,text,true,,2471,220,771,771,https://currency-converter5.p.rapidapi.com/currency/list,35170,0,34791
1587995770421,35011,Get Available Currencies,200,OK,Currency Converter API 1-1787,text,true,,2471,220,771,771,https://currency-converter5.p.rapidapi.com/currency/list,35011,0,32923
1587995770245,35187,Get Available Currencies,200,OK,Currency Converter API 1-1494,text,true,,2471,220,771,771,https://currency-converter5.p.rapidapi.com/currency/list,35187,0,34796
1587995805240,192,Get Historical Currency Rate,200,OK,Currency Converter API 1-1073,text,true,,7055,247,771,771,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,192,0,0
1587995769615,35819,Get Available Currencies,200,OK,Currency Converter API 1-801,text,true,,2471,220,770,770,https://currency-converter5.p.rapidapi.com/currency/list,35819,0,35462
1587995769567,35869,Get Available Currencies,200,OK,Currency Converter API 1-804,text,true,,2471,220,770,770,https://currency-converter5.p.rapidapi.com/currency/list,35869,0,35511
1587995769660,35776,Get Available Currencies,200,OK,Currency Converter API 1-779,text,true,,2471,220,770,770,https://currency-converter5.p.rapidapi.com/currency/list,35776,0,35417
1587995805284,152,Get Historical Currency Rate,200,OK,Currency Converter API 1-787,text,true,,7055,247,770,770,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,152,0,0
1587995770271,35166,Get Available Currencies,200,OK,Currency Converter API 1-1531,text,true,,2471,220,769,769,https://currency-converter5.p.rapidapi.com/currency/list,35166,0,34786
1587995771351,34087,Get Available Currencies,200,OK,Currency Converter API 1-1938,text,true,,2471,220,769,769,https://currency-converter5.p.rapidapi.com/currency/list,34087,0,31993
1587995770560,34886,Get Available Currencies,200,OK,Currency Converter API 1-1720,text,true,,2471,220,769,769,https://currency-converter5.p.rapidapi.com/currency/list,34886,0,34533
1587995805284,161,Get Historical Currency Rate,200,OK,Currency Converter API 1-641,text,true,,7055,247,769,769,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,161,0,0
1587995804729,717,Get Currency Rate,200,OK,Currency Converter API 1-1019,text,true,,7674,235,768,768,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,717,0,563
1587995795790,9680,Get Historical Currency Rate,200,OK,Currency Converter API 1-466,text,true,,7055,247,768,768,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,9680,0,4376
1587995803636,1836,Get Currency Rate,200,OK,Currency Converter API 1-1941,text,true,,7674,235,767,767,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,1836,0,582
1587995804634,841,Get Currency Rate,200,OK,Currency Converter API 1-675,text,true,,7674,235,767,767,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,841,0,636
1587995769616,35861,Get Available Currencies,200,OK,Currency Converter API 1-983,text,true,,2471,220,767,767,https://currency-converter5.p.rapidapi.com/currency/list,35861,0,35494
